GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT3G50840	4	5	6	4
AT4G35100	147	209	119	132
AT3G51171	0	0	0	0
AT1G69280	4	5	6	3
AT1G36950	0	0	0	0
AT4G09090	0	0	0	0
AT4G33380	59	81	45	28
AT3G05905	90	94	107	52
AT3G60100	1	0	0	2
AT3G58795	3	4	1	0
AT1G12430	23	20	28	13
AT5G44286	1	1	1	2
AT3G17440	48	38	36	18
AT3G10350	13	16	17	13
AT1G56320	16	19	10	10
AT4G14465	82	128	75	67
AT4G22580	14	30	11	19
AT1G36310	45	54	39	38
AT3G17030	3	5	1	0
AT1G44830	0	0	0	0
AT4G16180	18	20	11	13
AT4G15396	13	9	3	2
AT2G16880	12	6	14	8
AT5G45190	33	39	32	17
AT5G41120	8	5	1	7
AT4G02860	49	51	43	22
AT3G12145	3	3	1	2
AT5G19940	16	16	15	4
AT1G43765	1	0	1	1
AT1G01300	23	37	17	20
AT2G43790	28	48	18	29
AT1G48050	18	16	12	7
AT5G66820	23	23	24	24
AT5G08240	60	44	44	19
AT3G01080	3	6	2	6
AT1G36925	0	0	0	0
AT1G22180	10	21	13	14
AT3G60190	26	21	23	14
AT1G17450	14	14	7	6
AT5G18260	15	14	18	12
AT1G28590	1	1	2	3
AT5G38450	1	3	2	5
AT3G49990	57	64	86	34
AT2G33793	0	0	0	0
AT5G19380	6	7	3	2
AT1G79670	39	45	25	13
AT4G14230	11	17	7	3
AT3G55580	0	1	0	0
AT5G18362	2	1	3	0
AT4G14810	0	0	0	0
AT1G60080	1	7	6	0
AT5G17860	9	9	0	3
AT2G44030	0	0	0	0
AT2G45650	0	0	0	0
AT5G20620	53	79	44	32
AT4G38080	16	24	11	6
AT4G08980	41	71	42	38
AT2G28350	24	27	17	11
AT3G06962	2	1	1	0
AT3G03180	7	3	1	1
AT2G22380	0	0	0	1
AT5G10790	14	18	14	6
AT5G05985	0	0	0	0
AT5G07070	3	7	2	5
AT3G42786	0	0	0	0
AT3G25655	0	1	0	0
AT1G07130	30	35	12	15
AT4G08590	3	7	2	5
AT2G44080	21	42	8	13
AT2G18400	18	19	17	10
AT5G40280	17	17	11	10
AT3G04010	14	17	17	8
AT4G15910	250	309	233	249
