GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT2G18760	13	14	14	10
AT1G43190	27	24	18	12
AT2G39690	0	1	0	0
AT3G27560	11	15	10	7
AT4G02000	0	0	1	0
AT5G28465	0	0	0	0
AT5G65520	10	18	14	9
AT3G19210	0	1	2	1
AT4G31805	0	0	0	0
AT4G25170	24	24	7	4
AT3G50070	38	34	26	12
AT3G05165	42	65	35	23
AT1G06290	43	55	26	25
AT3G19980	21	26	16	16
AT2G22780	89	114	73	65
AT2G46830	49	45	46	20
AT3G57470	5	3	3	1
AT1G19770	36	30	22	20
AT5G06420	4	1	2	2
AT3G43250	0	0	0	0
AT1G50430	27	40	22	21
AT1G16500	21	17	15	7
AT3G54820	22	21	5	10
AT5G45530	0	0	0	0
AT4G32175	0	1	1	3
AT1G68910	28	18	17	10
AT1G03590	31	36	23	23
AT4G26900	20	33	17	25
AT3G22840	229	238	97	76
AT3G28080	1	0	0	0
AT2G23210	0	0	0	1
AT3G13080	43	62	34	32
AT1G21695	1	0	4	0
AT2G35740	1	3	2	1
AT5G50770	0	0	0	0
AT2G31370	23	19	10	19
AT1G14620	19	29	10	11
AT2G15530	23	16	12	15
AT5G42700	0	0	0	1
AT4G20650	0	0	0	0
AT2G02680	20	23	10	19
AT2G43600	2	5	3	2
AT1G22340	0	0	1	0
AT1G70650	0	4	3	3
AT5G63170	0	0	0	0
AT5G07315	0	0	2	0
AT1G77710	51	68	48	41
AT1G75600	0	0	0	0
AT2G28410	6	2	6	2
AT4G09670	37	43	32	17
AT3G63120	18	33	19	18
AT2G07714	0	0	1	0
AT5G47100	7	5	15	17
AT4G11450	4	3	4	4
AT4G32280	0	0	0	1
AT4G27250	1	1	1	0
AT1G75410	24	23	18	12
AT5G08270	4	1	3	3
AT3G24495	3	6	0	3
AT5G13280	27	41	23	15
AT2G21188	3	5	5	3
AT3G02468	779	1051	730	812
AT3G32400	0	1	0	0
AT1G15690	277	494	152	199
AT4G11211	2	5	4	5
AT1G65484	1	1	1	0
AT2G39710	3	8	5	7
AT5G48910	10	10	7	6
AT1G30900	41	54	66	39
AT3G47080	13	8	14	10
AT2G02510	53	53	63	30
AT1G49460	1	2	2	0
AT1G05730	11	12	12	11
ATMG00180	0	0	0	0
ATCG00240	0	1	2	0
AT5G52510	207	204	272	196
AT1G80950	12	23	12	12
AT1G26830	31	64	50	54
AT1G27730	46	5	18	3
AT1G04830	10	22	10	5
AT2G17980	67	61	48	45
AT3G24660	24	21	26	19
AT5G06680	19	29	12	11
AT2G04100	7	9	3	1
AT1G21720	50	53	39	52
AT3G24614	0	1	1	1
AT3G55470	34	33	39	20
AT3G16000	7	2	4	3
AT5G12220	7	9	7	9
AT1G62830	25	22	8	4
AT2G20790	14	24	21	11
AT2G18328	0	1	1	1
AT1G20510	27	23	21	20
AT3G25905	0	0	1	1
AT3G44400	11	11	9	8
AT4G14690	35	45	37	29
AT4G22180	0	0	0	0
AT3G06410	25	45	22	13
AT5G50350	34	41	25	21
AT1G49150	0	0	0	0
AT3G54160	0	1	0	0
AT1G61170	13	22	10	2
AT3G05200	63	73	110	70
AT3G49700	0	0	0	0
AT4G14225	0	1	0	0
AT2G42700	14	10	7	6
AT5G57570	0	0	0	0
AT5G18005	0	0	0	0
AT1G26380	6	6	5	2
AT1G30970	18	22	27	17
AT5G66890	0	0	0	0
AT1G44800	114	224	173	182
AT4G28520	0	0	0	0
AT5G02620	20	30	25	6
AT1G23720	8	14	8	10
AT1G15780	35	46	13	21
AT3G28790	0	0	0	0
AT4G03566	0	0	0	0
AT1G20170	1	0	0	0
AT5G27870	0	0	0	0
AT1G25510	10	17	9	8
AT2G42060	12	22	4	6
AT2G27850	1	0	0	1
AT5G67220	50	77	67	26
AT5G43403	7	5	2	3
AT5G05410	5	10	16	4
AT4G13820	2	1	0	0
AT5G66710	0	3	0	1
AT5G26070	0	0	0	0
AT1G72730	16	45	25	22
AT2G41380	107	127	66	45
AT5G19070	5	5	4	7
AT2G45950	8	4	3	4
AT3G27329	0	0	0	0
AT3G18640	25	20	25	21
AT3G18350	6	10	5	5
AT1G77840	78	97	111	80
AT1G80060	3	2	1	0
AT3G13620	34	53	14	13
AT5G42410	1	1	1	0
AT5G42320	15	23	9	8
AT1G70510	1	2	0	1
AT4G28811	1	4	1	2
AT4G26690	15	20	7	15
AT3G21360	7	3	11	6
AT3G47180	1	0	1	1
AT1G08845	4	4	3	5
AT5G44585	6	3	2	3
AT3G54390	19	11	24	13
AT2G21380	15	28	9	9
AT5G28781	0	0	0	0
AT3G16220	2	8	5	10
AT4G36170	0	0	0	0
AT2G11405	0	0	0	0
AT3G15090	42	46	24	17
AT2G38465	3	3	3	4
AT3G61990	100	104	73	57
AT1G72050	26	22	29	15
AT1G11800	8	11	6	9
AT3G20500	19	19	8	10
AT5G20550	8	18	7	17
AT1G25260	34	57	42	24
AT4G35560	15	20	10	7
AT3G57250	0	0	0	0
AT1G20100	37	43	42	18
AT3G02930	9	5	8	9
AT1G24148	0	1	0	0
AT4G14960	403	510	338	284
AT3G60920	0	3	0	0
AT1G77520	48	50	26	20
AT1G51402	3	3	1	1
AT2G36130	19	23	27	13
AT4G25760	13	14	6	7
AT5G01410	133	182	107	77
AT5G67190	10	7	11	4
AT4G06634	8	13	14	7
AT2G21210	1	0	0	2
AT1G80680	22	37	20	23
AT4G19680	1	1	0	2
AT4G33740	93	84	115	42
AT1G27340	62	86	39	38
AT1G44900	18	15	12	8
AT3G10710	18	26	12	8
AT3G22660	33	60	69	58
AT5G65350	1	3	4	1
AT1G50580	13	19	15	4
AT4G33355	3	6	5	1
AT4G16380	67	114	39	64
AT5G23960	0	0	0	0
AT4G12320	0	1	0	0
AT5G66510	55	98	58	38
AT1G75390	39	65	33	25
AT5G41210	18	25	12	8
AT1G62510	0	0	0	1
AT5G47400	5	6	3	7
AT5G35900	0	0	1	0
AT2G42110	0	2	1	1
AT5G62370	8	4	5	0
AT4G21140	2	10	12	9
AT3G11964	40	50	55	37
AT4G00305	1	1	0	1
AT1G73830	1	3	0	2
AT3G58350	4	6	1	7
AT2G17305	0	0	0	0
AT5G03700	22	30	27	16
AT5G45540	0	0	0	1
AT4G18450	0	0	1	0
AT5G62300	100	108	84	68
AT2G03790	0	1	0	0
AT5G40360	0	0	0	0
AT3G54290	25	43	30	14
AT2G24260	50	60	37	37
AT2G06541	0	0	0	0
AT3G53580	90	118	72	62
AT5G15860	51	47	33	31
AT2G21910	1	0	0	0
AT5G11550	11	4	11	5
AT1G08160	12	18	7	9
AT2G37480	36	39	18	19
AT1G28530	0	1	0	1
AT1G15750	129	188	81	73
AT3G12300	9	9	7	9
AT5G47230	83	55	30	17
AT5G46130	0	0	0	0
AT2G42990	1	0	0	0
AT1G54260	7	4	4	3
AT2G26370	1	0	0	0
AT4G29280	0	0	0	0
AT1G76490	502	675	233	259
AT3G03290	1	1	1	3
AT5G04480	15	32	10	5
AT4G16355	0	0	0	0
AT1G05785	5	5	3	2
AT3G07960	6	7	4	1
AT4G23570	6	10	6	7
AT3G24230	0	0	0	0
AT2G19650	1	2	4	1
AT1G31010	2	3	10	2
AT3G12360	71	91	37	31
AT1G05170	16	17	9	5
AT2G24590	71	91	64	58
AT5G03570	19	7	22	17
AT2G01480	7	20	13	11
AT1G76860	47	58	31	37
AT2G35830	0	1	0	0
AT5G55020	0	0	0	0
AT1G28080	1	1	0	1
AT4G10457	0	0	0	0
AT5G64240	17	21	9	5
AT2G04520	106	160	159	122
AT1G60450	0	1	0	0
AT3G07740	4	5	11	7
AT1G56270	0	0	0	0
AT5G65770	62	63	74	45
AT5G38240	0	1	0	0
AT5G51490	1	1	0	0
AT4G00460	3	2	3	1
AT1G79230	59	64	49	63
AT5G29231	0	0	0	0
AT2G20980	3	0	0	2
AT5G25150	10	16	8	9
AT4G02500	102	155	96	55
AT1G13310	1	0	0	0
AT5G49160	18	22	21	17
AT1G69020	2	1	1	3
AT3G33520	5	8	5	8
AT4G40070	52	59	84	64
AT4G39900	15	14	7	7
AT4G30790	33	38	14	15
AT5G47870	22	22	7	16
AT4G25020	2	1	0	0
AT3G44910	0	0	0	0
AT4G34450	257	321	222	174
AT3G12150	17	31	18	14
AT4G11080	2	4	7	1
AT5G06450	20	19	20	10
AT4G32140	7	19	5	6
AT4G10603	0	0	0	0
AT4G31080	39	82	54	50
AT5G40000	5	3	1	0
AT1G68935	8	9	6	5
AT2G43610	145	170	63	72
AT5G28910	0	2	2	1
AT1G53380	32	44	42	19
AT3G27380	105	141	125	71
AT4G13580	48	46	37	32
AT1G69370	2	3	2	1
AT5G59180	6	11	8	8
AT5G19650	0	1	0	0
AT1G05205	12	16	12	10
AT5G66630	20	10	6	9
AT5G19280	20	29	15	15
AT4G23660	6	11	7	3
AT4G07408	0	0	0	0
AT1G06670	40	50	35	44
AT5G07990	37	57	24	30
AT2G45310	15	16	20	9
AT4G04210	38	35	28	16
AT5G60720	0	2	1	0
AT4G21585	0	2	2	0
AT1G52260	6	10	10	1
AT3G05080	0	3	2	1
AT3G54940	0	0	0	0
AT3G52030	20	17	11	18
AT5G14640	33	38	28	13
AT1G10230	10	16	9	9
AT2G35680	181	193	176	96
AT4G24973	0	0	0	0
AT3G48275	1	2	1	0
AT5G10050	20	28	28	9
AT2G46860	4	6	1	2
AT5G13860	3	14	8	11
AT1G68290	11	9	10	3
AT1G47970	118	120	200	90
AT5G49000	5	6	5	3
AT3G56680	23	25	13	12
AT1G68200	1	2	1	0
AT1G53900	1	0	0	0
AT2G44240	0	0	0	0
AT3G50200	2	0	1	1
AT1G09310	11	17	20	5
AT2G39920	0	0	0	0
AT1G55700	3	1	2	0
AT5G61660	6	7	6	6
AT2G07722	0	0	0	0
AT2G19990	78	64	58	29
AT3G06770	0	3	0	3
AT3G59926	0	0	3	0
AT5G67310	2	0	2	0
AT2G35720	17	15	7	13
AT3G04855	0	0	0	0
AT5G23930	8	3	6	1
AT1G47230	7	10	6	5
AT2G47810	1	3	0	0
AT5G62520	27	39	27	24
AT1G04590	8	17	15	5
AT2G24390	5	14	2	3
AT2G16270	4	3	1	1
AT1G68840	136	109	87	94
AT4G10030	7	15	3	10
AT4G34020	4	3	2	3
AT1G55490	24	25	21	16
AT1G12000	119	187	84	95
AT3G23660	38	40	21	17
AT1G10750	3	5	2	0
AT1G76530	0	0	0	0
AT3G63210	26	29	19	16
AT3G57490	35	66	55	52
AT2G42440	1	0	1	0
AT2G20721	0	1	1	1
AT5G01810	142	207	138	119
AT5G25754	11	23	12	13
AT5G55900	7	7	3	0
AT2G37510	1	1	2	0
AT1G07485	1	1	0	0
AT3G49890	4	4	6	3
AT5G45130	113	127	79	70
AT1G31430	0	2	1	0
AT2G34520	38	50	37	26
AT1G60190	3	4	3	0
AT3G61750	10	9	4	2
AT3G30370	0	0	0	0
AT3G46190	4	4	8	4
AT3G47800	12	24	12	18
AT5G56650	20	36	14	25
AT3G55860	2	3	0	1
AT5G26622	2	2	1	1
AT1G51450	11	27	20	14
AT5G56870	12	22	16	12
AT5G11690	15	16	8	8
AT1G24510	199	276	188	138
AT3G62130	34	53	27	39
AT2G44120	190	237	216	144
AT4G32300	33	35	22	21
AT1G18600	9	6	8	2
AT5G39720	1	1	1	0
AT5G07020	9	7	7	1
AT4G31760	2	0	1	0
AT3G19760	131	154	123	92
AT3G18290	30	46	42	39
AT2G20680	7	10	3	1
AT3G10820	12	5	4	3
AT5G59055	0	0	1	0
AT3G02150	2	0	0	1
AT1G48490	60	67	45	39
AT1G19520	35	57	38	40
AT1G64690	3	1	5	0
AT2G28810	7	15	9	9
AT1G72650	29	27	30	15
AT3G53668	54	56	39	15
AT3G42780	0	0	0	0
AT1G01580	5	4	0	1
AT3G48450	8	5	5	4
AT3G07040	2	1	7	1
AT3G18140	24	34	26	13
AT5G44170	19	20	18	17
AT5G14730	40	32	25	20
AT2G22060	0	0	0	0
AT3G49580	1	1	0	1
AT5G58230	32	55	29	31
AT5G25280	53	71	38	38
AT3G04230	26	32	31	25
AT2G21690	0	0	0	0
AT1G55840	35	37	16	17
AT4G26480	16	27	28	14
ATCG01310	3	4	2	1
AT5G60310	2	2	0	0
AT5G59610	4	6	2	2
AT1G66050	0	1	0	0
AT1G09190	1	4	6	6
AT3G16700	0	1	2	0
AT5G07000	5	1	3	0
AT1G12470	34	35	22	17
AT5G19240	6	6	1	3
AT1G30515	0	2	1	1
AT4G03205	6	5	0	0
AT1G11545	28	43	22	22
AT1G14345	2	3	1	0
AT3G04090	63	50	37	33
AT5G58620	79	91	55	50
AT2G34985	0	0	0	0
AT3G26340	16	29	21	13
AT5G23370	0	0	1	1
AT4G02890	211	330	153	135
AT1G67370	0	0	2	4
AT3G42150	2	3	4	2
AT1G59780	13	9	6	10
AT3G20470	555	650	398	318
AT3G32047	3	5	2	0
AT5G59310	0	0	0	0
AT3G19520	45	43	29	20
AT5G56270	21	10	12	3
AT1G67550	30	40	31	27
AT2G18915	36	30	26	22
AT3G11402	3	6	4	2
AT5G45490	347	377	333	252
AT1G03920	7	2	5	1
AT1G16250	9	15	9	11
AT3G46600	50	40	36	27
AT4G35830	207	405	166	192
AT1G74150	0	0	0	0
AT1G20380	4	8	4	3
AT1G08180	4	4	0	0
AT1G74400	0	0	2	0
AT1G02080	83	80	64	35
AT1G06640	180	248	107	97
AT5G42040	0	0	0	0
AT1G01170	5	4	1	5
AT3G10310	2	2	3	0
AT5G46750	29	32	35	12
AT1G80745	0	0	0	0
AT5G23010	11	14	9	7
AT3G29639	0	0	0	0
AT3G62500	1	0	1	0
AT1G36970	0	0	0	0
AT5G19095	0	0	0	0
AT1G01410	0	0	0	0
AT5G41970	15	20	14	8
AT5G07270	45	43	30	18
AT1G51910	0	0	0	0
AT5G20120	16	20	8	9
AT5G15620	0	0	0	0
AT5G33340	0	0	0	0
AT4G22000	56	69	74	30
AT3G48890	53	85	53	38
AT3G43740	12	12	9	6
AT5G15260	10	22	11	9
AT5G38650	42	42	29	20
AT1G49475	16	22	23	10
AT5G40790	0	0	0	0
AT4G18070	73	84	75	57
AT4G02450	290	338	376	217
AT1G75670	7	10	14	6
AT3G46010	57	68	47	35
AT4G34990	15	14	8	7
AT1G26230	0	1	0	0
AT1G31600	10	12	9	9
AT1G20900	42	65	60	39
AT5G06740	16	11	2	7
AT5G59170	0	0	0	0
AT3G12203	0	0	0	0
AT1G24822	0	0	0	0
AT2G34530	0	3	0	1
AT5G22000	101	122	77	68
AT1G67960	12	11	8	4
AT2G19050	0	0	0	0
AT3G43610	8	12	7	5
AT4G05160	32	28	12	9
AT2G12400	46	49	27	25
AT3G21070	28	28	14	10
AT5G19950	8	9	3	11
AT2G30000	8	12	11	12
ATMG00700	0	0	1	0
AT5G59870	19	24	20	15
AT4G36945	15	5	3	8
AT2G46455	0	0	0	0
AT4G17500	64	42	32	33
AT2G37100	4	2	1	1
AT3G01320	35	32	34	32
AT1G77380	7	14	9	9
AT1G75710	27	28	10	10
AT1G62620	4	2	0	0
AT1G08315	21	41	27	19
AT3G61400	15	39	33	31
AT1G29740	1	0	2	2
AT3G26790	0	1	0	0
AT4G14660	6	7	3	3
AT3G05750	3	3	2	4
AT3G12070	0	6	3	0
AT5G38020	21	17	12	6
AT1G05790	9	7	10	6
AT5G60440	0	0	0	0
AT2G15440	3	12	8	2
AT3G44900	0	0	0	0
AT5G49440	132	131	86	90
AT1G02350	0	0	0	0
AT2G29890	3	6	2	3
AT2G30870	430	545	295	240
AT3G10700	10	8	5	4
AT3G48700	8	13	5	10
AT3G55070	17	18	9	3
AT1G01310	0	0	1	0
AT5G59430	20	33	13	9
AT1G66090	0	3	0	0
AT4G00080	36	43	23	30
AT1G17745	241	342	132	98
AT3G09090	36	47	33	33
AT2G24190	7	9	5	6
AT4G09890	11	6	4	2
AT5G10340	0	0	0	0
AT5G41550	5	4	3	0
AT5G40100	3	6	2	1
AT2G01170	22	26	13	20
AT2G43820	68	61	70	26
AT4G31895	0	0	2	0
AT1G49975	0	1	0	0
AT1G13180	6	14	11	5
AT2G22560	38	32	33	20
AT5G24879	0	0	0	0
AT1G14610	72	122	75	69
AT2G39800	10	17	14	7
AT5G38820	0	0	0	0
AT4G15120	6	15	13	5
AT5G41000	3	1	0	2
AT4G08390	80	122	63	70
AT1G49470	1	6	7	4
AT1G31950	3	9	4	3
AT2G43010	0	0	0	1
AT1G19464	0	0	0	0
AT5G51570	43	51	46	49
AT3G44830	1	1	0	1
AT5G58600	3	5	3	2
AT3G25690	6	5	4	2
AT2G27970	10	7	6	5
AT1G14800	0	0	0	0
AT5G48485	0	1	0	0
AT1G54080	71	102	50	33
AT2G41760	8	5	6	6
AT5G38710	5	4	7	6
AT3G53690	1	1	0	0
AT2G46490	49	58	41	21
AT3G21960	0	0	0	0
AT1G03515	0	1	0	0
AT3G44380	4	5	10	7
AT5G12940	52	63	19	22
AT5G05657	0	0	0	0
AT2G25260	27	38	24	18
AT5G04340	67	27	30	27
AT3G06310	21	30	22	24
AT5G53850	26	31	23	23
AT4G13660	59	84	35	39
AT1G12930	12	17	9	5
AT4G39720	4	7	7	1
AT4G33640	22	36	37	27
AT1G32810	38	45	40	33
AT2G17050	11	15	16	14
AT3G47640	7	11	13	5
AT4G33760	7	7	5	5
AT1G03510	0	1	2	0
AT1G53163	2	0	0	2
AT1G31350	28	33	28	31
AT5G42920	15	19	9	19
AT5G13980	20	36	38	28
AT3G61360	2	3	4	0
AT1G55030	0	2	0	0
AT4G38545	108	140	84	62
AT3G12510	4	5	7	6
AT3G27865	5	4	1	1
AT5G11250	3	5	4	1
AT3G51200	0	0	0	0
AT5G55390	22	27	12	8
AT2G13650	14	9	9	14
AT4G27690	11	12	7	10
AT5G01400	18	25	13	19
AT1G18410	0	0	0	0
AT4G32240	30	47	42	22
AT2G10537	0	0	0	0
AT1G48410	165	261	117	151
AT3G20865	0	0	0	0
AT5G43770	3	7	2	6
AT5G10450	398	559	323	318
AT1G53030	11	12	7	7
AT4G29720	19	62	27	26
AT5G52400	1	0	0	0
AT4G10320	79	129	89	73
AT3G60910	15	21	8	9
AT3G58165	1	0	0	0
AT3G04850	2	3	1	2
AT5G16830	13	10	8	7
AT2G35500	3	5	3	1
AT3G16490	4	7	3	1
AT1G58380	46	50	54	47
AT3G16920	11	21	9	11
AT1G76520	32	35	25	25
AT5G56610	5	8	3	1
AT4G00540	0	0	0	0
AT2G47910	0	3	0	2
AT1G77682	0	0	0	0
AT5G05360	22	22	27	15
AT4G02465	0	0	1	0
AT2G14846	0	0	0	0
AT1G77620	13	13	2	6
AT1G30730	10	26	7	10
AT1G76460	10	17	11	6
AT5G43520	32	26	34	14
AT4G01540	13	10	21	6
AT5G14680	8	14	12	12
AT1G11475	13	17	10	13
AT5G19221	0	1	4	3
AT4G21790	70	89	65	77
AT2G01210	4	7	5	6
AT1G04010	15	16	4	8
AT5G39260	0	0	0	0
AT4G11845	1	1	3	0
AT2G25520	203	247	158	139
AT3G02500	1	1	0	0
AT2G38360	8	11	4	13
AT1G08890	5	3	5	1
AT5G21160	38	62	38	37
AT4G13510	324	392	65	54
AT4G36160	0	0	0	1
AT1G68238	0	1	22	18
AT5G60570	117	184	150	87
AT5G25500	1	0	2	2
AT4G11590	2	1	0	0
AT5G62420	0	0	1	0
AT4G00231	21	35	27	9
AT2G34630	27	41	26	26
AT4G08940	7	13	2	2
AT4G32430	2	2	2	0
AT3G14415	15	26	11	15
AT3G17611	13	15	27	12
AT1G16680	14	11	11	8
AT3G16070	0	1	0	0
AT5G35407	0	0	0	0
AT5G15510	5	2	6	3
AT3G52140	69	105	84	83
AT5G24520	17	8	11	8
AT4G33670	7	9	12	7
AT1G29860	0	1	1	0
AT5G44380	96	90	40	34
AT4G39150	19	35	16	13
AT2G23920	0	0	0	0
AT3G22780	16	27	16	13
AT5G20820	2	5	0	0
AT5G67510	125	182	169	142
AT2G35733	3	2	9	4
AT1G75290	2	4	1	1
AT5G15020	63	71	65	41
AT2G29910	3	10	2	5
AT4G16146	1	3	1	0
AT1G24050	72	70	79	57
AT2G19900	3	1	1	0
AT3G45960	1	0	3	3
AT1G50450	2	3	1	1
AT1G62730	5	12	6	5
AT2G18050	7	5	8	0
AT2G43990	5	0	0	3
AT4G01430	1	1	1	0
AT3G63310	20	30	11	8
AT5G20190	72	67	51	39
AT5G11260	65	48	52	31
AT2G07749	0	0	0	0
AT4G37940	11	6	7	7
AT1G27400	82	121	81	75
AT5G67110	3	2	4	0
AT5G11950	30	42	22	25
AT5G02950	2	3	1	1
AT2G05940	29	26	22	1
AT4G22850	8	13	9	3
AT3G23950	0	0	0	0
AT4G36180	9	19	11	16
AT5G63480	6	8	3	2
AT5G50012	4	3	1	2
AT1G79430	8	14	11	7
AT3G45290	0	1	0	2
AT2G03760	21	22	25	22
AT1G78690	2	3	2	1
AT1G72120	4	12	3	1
AT1G09560	9	15	4	5
AT3G51930	5	9	7	2
AT3G14740	5	3	3	1
AT3G07025	0	0	0	0
AT5G51620	4	11	6	7
AT1G54445	0	0	0	0
AT2G27460	11	16	10	7
AT4G31360	3	8	7	2
AT2G01470	59	56	41	38
AT5G62820	8	5	6	4
AT1G49610	1	0	0	0
AT3G62240	20	22	32	19
AT3G44130	0	0	0	0
AT1G49830	0	1	0	2
AT4G12020	34	24	25	14
AT3G16560	8	12	33	31
AT3G55870	0	0	0	0
AT1G10930	6	3	2	1
AT2G34960	0	0	0	0
AT4G25250	2	2	0	1
AT1G15630	3	8	1	4
AT4G24060	19	15	34	19
AT3G23170	27	34	10	19
AT3G16570	17	11	9	17
AT4G11340	0	0	0	0
AT1G24340	12	18	11	7
AT1G08940	30	56	46	30
AT2G11200	0	0	0	0
AT1G79210	13	30	27	7
AT4G26840	96	100	101	76
AT4G25840	17	26	17	10
AT4G02010	11	28	9	7
AT3G52970	0	0	2	2
AT1G10820	4	8	5	3
AT1G24480	0	1	0	0
AT1G78960	19	40	13	7
AT3G03690	5	10	1	3
AT5G40470	15	14	50	23
AT2G42950	8	3	3	3
AT2G47130	60	71	66	65
AT1G51000	1	0	0	0
AT2G16790	12	14	10	10
AT3G18110	4	3	2	2
AT4G16490	151	180	165	145
AT1G24706	48	36	54	42
AT1G47280	1	0	0	0
AT4G32180	47	66	50	35
AT3G20690	0	0	0	0
AT5G46380	0	0	0	0
AT4G33510	24	45	22	31
AT4G21540	47	52	32	18
AT1G61065	1	7	2	1
AT1G29041	5	4	4	2
AT2G14750	49	72	59	51
AT5G06230	14	19	8	5
AT5G47490	11	20	12	11
AT1G78780	15	25	8	10
AT5G50390	16	8	9	4
AT5G13580	50	45	30	18
AT2G43210	29	36	36	14
AT3G53490	2	3	2	3
AT1G73730	22	27	21	11
AT3G02040	7	5	4	12
AT5G03300	204	241	188	125
AT1G55140	4	2	1	1
AT4G02100	24	28	18	16
AT5G23040	16	12	10	17
AT2G45470	11	12	14	14
AT3G09650	16	29	12	17
AT5G13890	7	12	5	6
AT5G16200	3	3	1	1
AT1G04000	5	11	1	4
AT5G62530	3	15	12	11
AT2G14540	0	0	0	0
AT1G14960	10	13	7	9
AT2G27510	193	490	1944	2088
AT1G53190	20	19	13	11
AT2G21610	0	0	0	1
AT3G58820	2	0	0	1
AT2G26830	5	10	5	3
AT5G47570	102	128	93	82
AT1G61960	1	1	4	2
AT3G19420	62	84	37	39
AT1G35537	0	0	0	0
AT1G34500	2	0	0	0
AT1G59730	3	10	13	2
AT2G41450	1	2	0	0
AT5G42640	0	0	0	0
AT3G25440	9	7	10	5
AT1G06080	11	9	10	3
AT3G10410	86	95	55	38
AT4G25260	58	72	43	26
AT5G53930	25	21	27	8
AT4G17380	0	0	0	1
AT1G02405	1	0	0	0
AT3G59810	16	10	7	3
AT5G27010	0	2	0	0
AT1G07300	2	3	2	6
AT5G43300	0	0	0	0
AT2G22660	232	254	162	130
AT2G39050	20	24	10	13
AT4G21390	17	12	15	4
AT5G43970	25	26	23	29
AT1G11810	0	0	0	0
AT5G44840	0	0	0	0
AT4G02670	0	0	0	0
AT3G27410	0	0	0	0
AT5G58550	24	32	21	11
AT3G20700	0	0	0	0
AT2G18162	98	196	200	182
AT2G24683	0	0	0	0
AT5G17710	21	42	29	16
AT1G37007	0	0	0	0
AT5G49430	22	25	8	8
AT5G01175	5	7	3	2
AT5G39850	18	24	42	19
AT5G17410	9	14	6	6
AT4G19930	0	0	0	0
AT1G61970	0	1	4	1
AT3G55460	81	113	79	73
AT1G76110	1	2	2	0
AT3G26880	0	0	0	0
AT2G22800	10	13	7	5
AT5G45870	0	1	1	2
AT1G34760	5	4	2	2
AT1G08250	18	40	20	21
AT3G46585	0	1	0	0
AT5G25000	0	0	0	0
AT2G37770	1	2	0	0
AT5G27620	3	2	3	6
AT3G02800	7	17	8	4
AT4G14100	3	10	3	2
AT5G13110	24	57	216	242
AT1G54775	0	0	0	0
AT1G21460	2	1	1	1
AT5G65780	25	58	28	23
AT2G02720	0	2	0	0
AT2G24050	31	35	22	30
AT3G60380	12	22	11	9
AT4G15563	11	16	15	11
AT1G49450	36	22	100	69
AT4G27750	21	23	21	10
AT1G53541	2	5	3	1
AT5G57180	2	1	5	2
AT3G14240	61	67	37	51
AT3G26360	36	24	25	23
AT1G34260	19	36	20	22
AT1G07340	0	0	0	0
AT3G28590	0	0	0	0
AT3G17720	0	0	0	0
AT1G65350	4	1	1	0
AT1G02205	0	1	0	1
AT1G69750	1	4	1	1
AT3G45285	0	0	0	0
AT2G35540	9	13	8	4
AT1G63440	47	65	33	19
AT3G46560	44	65	65	53
AT1G65520	31	29	42	32
AT5G55770	0	3	0	2
AT5G46115	1	0	1	0
AT5G55910	54	67	31	28
AT3G54070	3	2	3	0
AT1G67730	116	134	67	59
AT1G29960	2	5	0	1
AT4G26350	0	0	0	0
AT4G13572	0	0	0	0
AT1G10000	0	0	3	0
AT2G41970	6	19	9	6
AT4G35090	59	131	130	129
AT5G42670	9	10	8	3
AT1G44094	0	0	0	0
AT4G30430	0	3	0	3
AT4G20040	1	2	2	0
AT1G11185	15	18	12	16
AT5G53210	0	0	0	0
AT4G27657	3	3	0	0
AT1G21630	57	70	36	48
AT5G65550	0	0	1	0
AT1G21651	22	15	10	15
AT5G51070	85	111	71	46
AT4G05494	0	0	0	0
AT4G25450	13	18	19	11
AT2G13463	0	0	0	0
AT5G36100	0	0	0	0
AT5G06560	22	52	22	18
AT1G02060	4	3	6	3
AT2G36530	695	1166	1428	1253
AT1G17510	15	24	9	12
AT1G68180	1	1	0	0
AT1G06860	12	14	18	6
AT2G16750	40	36	31	26
AT3G03310	17	16	17	14
AT2G43040	15	23	13	5
AT4G06746	4	3	1	3
AT3G60400	6	9	6	2
AT1G48910	0	0	0	0
AT1G57760	0	0	0	0
AT5G58580	3	3	3	0
AT1G70860	10	6	6	7
AT2G45750	18	27	25	17
AT5G14120	14	21	7	20
AT1G53390	24	34	15	20
AT3G51700	0	0	0	0
AT3G60450	65	88	42	41
AT2G43560	2	3	1	2
AT4G30490	12	9	10	8
AT5G62230	0	0	0	0
AT5G58150	19	25	21	16
AT2G09840	0	0	0	0
AT2G44010	12	26	20	15
AT3G17790	2	7	0	1
AT2G44860	35	43	30	22
AT1G18460	15	19	9	13
AT3G63480	0	1	1	1
AT1G04970	11	19	13	10
AT2G23170	5	17	5	6
AT5G66470	2	3	3	2
AT5G21170	5	12	2	7
AT3G56020	82	99	84	85
AT2G39180	6	12	3	8
AT4G09620	5	15	56	65
AT2G19550	1	0	0	0
AT5G49990	40	46	27	28
AT4G09731	0	0	0	0
AT5G44490	0	0	1	0
AT2G28070	15	18	6	6
AT3G30380	20	30	34	18
AT3G63300	22	36	20	15
AT1G18190	18	15	20	9
AT1G58290	59	47	49	40
AT4G22810	77	90	37	29
